send_time_ms,snapshot_id,seq_num,clients_count,cpu_percent,payload_bytes
1765461258990,0,0,0,0.0,101
1765461259040,1,1,0,0.0,202
1765461259091,2,2,0,0.0,303
1765461259141,3,3,0,0.0,303
1765461259192,4,4,0,0.0,303
1765461259243,5,5,0,0.0,303
1765461259294,6,6,0,0.0,303
1765461259345,7,7,0,0.0,303
1765461259395,8,8,0,0.0,303
1765461259445,9,9,0,0.0,303
1765461259496,10,10,0,0.0,303
1765461259547,11,11,0,0.0,303
1765461259598,12,12,0,0.0,303
1765461259649,13,13,0,19.5,303
1765461259700,14,14,0,0.0,303
1765461259751,15,15,0,19.7,303
1765461259802,16,16,0,0.0,303
1765461259853,17,17,0,0.0,303
1765461259904,18,18,0,0.0,303
1765461259955,19,19,0,0.0,303
1765461260005,20,20,0,0.0,303
1765461260056,21,21,0,0.0,303
1765461260107,22,22,0,0.0,303
1765461260158,23,23,0,0.0,303
1765461260208,24,24,0,0.0,303
1765461260260,25,25,0,0.0,303
1765461260311,26,26,0,0.0,303
1765461260362,27,27,0,0.0,303
1765461260412,28,28,0,0.0,303
1765461260463,29,29,0,0.0,303
1765461260514,30,30,0,0.0,303
1765461260565,31,31,0,0.0,303
1765461260616,32,32,0,19.5,303
1765461260667,33,33,0,0.0,303
1765461260718,34,34,0,0.0,303
1765461260769,35,35,0,0.0,303
1765461260820,36,36,0,0.0,303
1765461260871,37,37,0,0.0,303
1765461260922,38,38,0,0.0,303
1765461260972,39,39,0,0.0,303
1765461261023,40,40,0,0.0,303
1765461261074,41,41,0,0.0,303
1765461261125,42,42,0,0.0,303
1765461261175,43,43,0,0.0,303
1765461261226,44,44,0,0.0,303
1765461261277,45,45,0,0.0,303
1765461261327,46,46,0,0.0,303
1765461261377,47,47,0,0.0,303
1765461261428,48,48,1,0.0,303
1765461261478,49,49,1,0.0,303
1765461261528,50,50,1,0.0,303
1765461261579,51,51,1,0.0,303
1765461261629,52,52,1,0.0,303
