recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1765460132162,55,55,1765460132158,4,0,2,baseline
1765460132272,56,56,1765460132208,64,60,2,baseline
1765460132276,57,57,1765460132259,17,46,2,baseline
1765460132310,58,58,1765460132309,1,16,2,baseline
1765460132360,59,59,1765460132360,0,0,2,baseline
1765460132411,60,60,1765460132411,0,1,2,baseline
1765460132462,61,61,1765460132462,0,1,2,baseline
1765460132513,62,62,1765460132513,0,1,2,baseline
1765460132566,63,63,1765460132564,2,3,2,baseline
1765460132615,64,64,1765460132615,0,1,2,baseline
1765460132666,65,65,1765460132665,1,1,2,baseline
1765460132716,66,66,1765460132716,0,0,2,baseline
1765460132767,67,67,1765460132766,1,1,2,baseline
1765460132817,68,68,1765460132816,1,0,2,baseline
1765460132867,69,69,1765460132867,0,0,2,baseline
1765460132918,70,70,1765460132917,1,1,2,baseline
1765460132968,71,71,1765460132968,0,0,2,baseline
1765460133019,72,72,1765460133019,0,1,2,baseline
1765460133070,73,73,1765460133070,0,1,2,baseline
1765460133121,74,74,1765460133120,1,1,2,baseline
1765460133171,75,75,1765460133171,0,0,2,baseline
1765460133222,76,76,1765460133221,1,1,2,baseline
1765460133272,77,77,1765460133272,0,0,2,baseline
1765460133322,78,78,1765460133322,0,0,2,baseline
1765460133373,79,79,1765460133372,1,1,2,baseline
1765460133424,80,80,1765460133423,1,1,2,baseline
1765460133474,81,81,1765460133474,0,0,2,baseline
1765460133524,82,82,1765460133524,0,0,2,baseline
1765460133577,83,83,1765460133575,2,3,2,baseline
1765460133627,84,84,1765460133625,2,0,2,baseline
1765460133677,85,85,1765460133676,1,0,2,baseline
1765460133728,86,86,1765460133727,1,1,2,baseline
1765460133778,87,87,1765460133778,0,0,2,baseline
1765460133829,88,88,1765460133828,1,1,2,baseline
1765460133879,89,89,1765460133879,0,0,2,baseline
1765460133931,90,90,1765460133930,1,2,2,baseline
1765460133981,91,91,1765460133981,0,0,2,baseline
1765460134032,92,92,1765460134032,0,1,2,baseline
1765460134083,93,93,1765460134082,1,1,2,baseline
1765460134133,94,94,1765460134133,0,0,2,baseline
1765460134186,95,95,1765460134184,2,3,2,baseline
1765460134244,96,96,1765460134235,9,8,2,baseline
1765460134295,97,97,1765460134286,9,1,2,baseline
1765460134345,98,98,1765460134337,8,0,2,baseline
1765460134390,99,99,1765460134387,3,5,2,baseline
1765460134441,100,100,1765460134438,3,1,2,baseline
1765460134497,101,101,1765460134489,8,6,2,baseline
1765460134544,102,102,1765460134539,5,3,2,baseline
1765460134595,103,103,1765460134590,5,1,2,baseline
1765460134645,104,104,1765460134640,5,0,2,baseline
1765460134696,105,105,1765460134690,6,1,2,baseline
1765460134750,106,106,1765460134741,9,4,2,baseline
1765460134798,107,107,1765460134792,6,2,2,baseline
1765460134851,108,108,1765460134843,8,3,2,baseline
1765460134901,109,109,1765460134893,8,0,2,baseline
1765460134952,110,110,1765460134944,8,1,2,baseline
1765460135003,111,111,1765460134995,8,1,2,baseline
1765460135053,112,112,1765460135046,7,0,2,baseline
1765460135097,113,113,1765460135096,1,6,2,baseline
1765460135147,114,114,1765460135147,0,0,2,baseline
1765460135198,115,115,1765460135198,0,1,2,baseline
1765460135249,116,116,1765460135248,1,1,2,baseline
1765460135300,117,117,1765460135299,1,1,2,baseline
1765460135350,118,118,1765460135350,0,0,2,baseline
1765460135401,119,119,1765460135400,1,1,2,baseline
1765460135451,120,120,1765460135451,0,0,2,baseline
1765460135502,121,121,1765460135501,1,1,2,baseline
1765460135553,122,122,1765460135552,1,1,2,baseline
1765460135603,123,123,1765460135603,0,0,2,baseline
1765460135654,124,124,1765460135654,0,1,2,baseline
1765460135705,125,125,1765460135704,1,1,2,baseline
1765460135755,126,126,1765460135755,0,0,2,baseline
1765460135806,127,127,1765460135806,0,1,2,baseline
1765460135857,128,128,1765460135856,1,1,2,baseline
1765460135907,129,129,1765460135907,0,0,2,baseline
1765460135958,130,130,1765460135957,1,1,2,baseline
