timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460203456,40,0.0,0,baseline
1765460205459,79,0.0,0,baseline
1765460206767,119,0.0,0,baseline
1765460208775,158,0.0,0,baseline
1765460210784,198,0.0,0,baseline
1765460212791,237,0.0,0,baseline
1765460214794,277,0.0,0,baseline
1765460216804,317,0.0,0,baseline
1765460218814,356,0.0,0,baseline
1765460220825,396,0.0,0,baseline
1765460222833,435,0.0,0,baseline
1765460224835,474,0.0,0,baseline
1765460226847,514,0.0,0,baseline
1765460228848,553,0.0,0,baseline
1765460230890,593,0.0,0,baseline
1765460232891,633,0.0,0,baseline
1765460234893,672,0.0,0,baseline
1765460236896,711,0.0,0,baseline
1765460238274,751,0.0,0,baseline
1765460240275,790,0.0,0,baseline
1765460242276,830,0.0,0,baseline
1765460244278,869,0.0,0,baseline
1765460246287,909,0.0,0,baseline
1765460248297,948,0.0,0,baseline
1765460250300,987,0.0,0,baseline
1765460252314,1026,0.0,0,baseline
1765460254325,1066,0.0,0,baseline
1765460256337,1106,0.0,0,baseline
1765460258344,1145,0.0,0,baseline
1765460260346,1184,0.0,0,baseline
1765460262355,1224,0.0,0,baseline
