timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460418049,38,0.0,1,loss2
1765460420051,76,0.0,2,loss2
1765460422052,116,0.0,2,loss2
1765460424053,154,0.0,3,loss2
1765460426056,193,0.0,4,loss2
1765460428057,230,0.0,6,loss2
1765460430058,268,0.0,7,loss2
1765460432060,307,0.0,8,loss2
1765460434063,345,0.0,9,loss2
1765460436065,383,0.0,10,loss2
1765460438066,423,0.0,10,loss2
1765460440068,461,0.0,11,loss2
1765460442070,499,0.0,12,loss2
1765460444072,538,0.0,12,loss2
1765460446074,577,0.0,13,loss2
1765460448115,617,0.0,13,loss2
1765460449384,655,0.0,14,loss2
1765460451385,694,0.0,15,loss2
1765460453387,733,0.0,15,loss2
1765460455389,770,0.0,17,loss2
1765460457390,810,0.0,17,loss2
1765460459392,849,0.0,17,loss2
1765460461394,888,0.0,17,loss2
1765460463396,928,0.0,17,loss2
1765460465398,967,0.0,17,loss2
1765460467399,1006,0.0,17,loss2
1765460469402,1046,0.0,17,loss2
1765460471426,1084,0.0,18,loss2
1765460473428,1123,0.0,19,loss2
1765460475429,1161,0.0,20,loss2
1765460477431,1199,0.0,21,loss2
