timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499121190,38,0.0,1,loss2
1766499123194,76,0.0,2,loss2
1766499125195,114,0.0,3,loss2
1766499125529,151,0.0,4,loss2
1766499127530,190,0.0,4,loss2
1766499129531,229,0.0,4,loss2
1766499131533,267,0.0,5,loss2
1766499133535,306,0.0,5,loss2
1766499135536,343,0.0,7,loss2
1766499137538,381,0.0,7,loss2
1766499139539,420,0.0,7,loss2
1766499141542,459,0.0,7,loss2
1766499143542,497,0.0,8,loss2
1766499145547,533,0.0,10,loss2
1766499147548,570,0.0,12,loss2
1766499149551,608,0.0,13,loss2
1766499151553,646,0.0,14,loss2
1766499153554,684,0.0,15,loss2
1766499155555,721,0.0,16,loss2
1766499155924,760,0.0,17,loss2
1766499157925,798,0.0,17,loss2
1766499159926,836,0.0,18,loss2
1766499161928,874,0.0,19,loss2
1766499163930,913,0.0,19,loss2
1766499165932,950,0.0,20,loss2
1766499167933,990,0.0,20,loss2
1766499169934,1027,0.0,20,loss2
1766499171936,1063,0.0,24,loss2
1766499173938,1101,0.0,24,loss2
1766499175939,1139,0.0,25,loss2
