timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460559297,37,0.0,3,loss2
1765460561299,75,0.0,4,loss2
1765460563300,114,0.0,5,loss2
1765460565329,152,0.0,7,loss2
1765460567329,188,0.0,10,loss2
1765460569331,226,0.0,11,loss2
1765460571332,264,0.0,12,loss2
1765460573333,304,0.0,12,loss2
1765460575334,343,0.0,12,loss2
1765460577335,381,0.0,13,loss2
1765460579337,418,0.0,15,loss2
1765460581339,455,0.0,17,loss2
1765460583341,495,0.0,17,loss2
1765460585342,534,0.0,17,loss2
1765460587344,573,0.0,17,loss2
1765460589387,612,0.0,18,loss2
1765460590624,651,0.0,19,loss2
1765460592627,689,0.0,20,loss2
1765460594628,728,0.0,21,loss2
1765460596629,765,0.0,23,loss2
1765460598631,803,0.0,24,loss2
1765460600635,841,0.0,25,loss2
1765460602637,879,0.0,26,loss2
1765460604638,916,0.0,28,loss2
1765460606640,956,0.0,28,loss2
1765460608641,995,0.0,28,loss2
1765460610642,1034,0.0,28,loss2
1765460612643,1072,0.0,29,loss2
1765460614645,1111,0.0,30,loss2
1765460616646,1149,0.0,31,loss2
