timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499052728,39,0.0,0,loss2
1766499054731,77,0.0,0,loss2
1766499056734,115,0.0,1,loss2
1766499058739,153,0.0,2,loss2
1766499060742,191,0.0,3,loss2
1766499062743,228,0.0,5,loss2
1766499063013,266,0.0,6,loss2
1766499065017,304,0.0,7,loss2
1766499067020,342,0.0,7,loss2
1766499069022,379,0.0,9,loss2
1766499071023,418,0.0,9,loss2
1766499073024,456,0.0,10,loss2
1766499075026,495,0.0,10,loss2
1766499077061,534,0.0,11,loss2
1766499079072,571,0.0,13,loss2
1766499081074,610,0.0,13,loss2
1766499083082,647,0.0,15,loss2
1766499085084,684,0.0,17,loss2
1766499087087,721,0.0,18,loss2
1766499089090,759,0.0,19,loss2
1766499091093,798,0.0,19,loss2
1766499093096,835,0.0,21,loss2
1766499093390,872,0.0,23,loss2
1766499095394,910,0.0,24,loss2
1766499097397,948,0.0,25,loss2
1766499099400,987,0.0,25,loss2
1766499101401,1025,0.0,26,loss2
1766499103403,1063,0.0,27,loss2
1766499105404,1102,0.0,27,loss2
1766499107407,1140,0.0,28,loss2
