timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499800440,37,0.0,0,delay100
1766499802457,76,0.0,0,delay100
1766499804572,117,0.0,0,delay100
1766499806598,156,0.0,0,delay100
1766499808723,198,0.0,0,delay100
1766499810759,237,0.0,0,delay100
1766499812888,279,0.0,0,delay100
1766499814936,318,0.0,0,delay100
1766499817056,359,0.0,0,delay100
1766499819113,399,0.0,0,delay100
1766499821203,440,0.0,0,delay100
1766499823267,480,0.0,0,delay100
1766499825384,521,0.0,0,delay100
1766499827459,561,0.0,0,delay100
1766499827694,602,0.0,0,delay100
1766499829781,643,0.0,0,delay100
1766499831899,684,0.0,0,delay100
1766499833998,724,0.0,0,delay100
1766499836113,765,0.0,0,delay100
1766499838136,805,0.0,0,delay100
1766499840262,846,0.0,0,delay100
1766499842390,887,0.0,0,delay100
1766499844398,926,0.0,0,delay100
1766499846527,968,0.0,0,delay100
1766499848543,1008,0.0,0,delay100
1766499850661,1049,0.0,0,delay100
1766499852687,1089,0.0,0,delay100
1766499854806,1130,0.0,0,delay100
1766499856843,1169,0.0,0,delay100
