timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766498914829,39,0.0,0,baseline
1766498916831,79,0.0,0,baseline
1766498918833,118,0.0,0,baseline
1766498920841,157,0.0,0,baseline
1766498922842,195,0.0,0,baseline
1766498924849,234,0.0,0,baseline
1766498926851,272,0.0,0,baseline
1766498928855,311,0.0,0,baseline
1766498930869,350,0.0,0,baseline
1766498932875,389,0.0,0,baseline
1766498934911,428,0.0,0,baseline
1766498936919,467,0.0,0,baseline
1766498938920,506,0.0,0,baseline
1766498940922,545,0.0,0,baseline
1766498941130,584,0.0,0,baseline
1766498943131,623,0.0,0,baseline
1766498945132,662,0.0,0,baseline
1766498947133,701,0.0,0,baseline
1766498949134,740,0.0,0,baseline
1766498951135,778,0.0,0,baseline
1766498953145,817,0.0,0,baseline
1766498955146,856,0.0,0,baseline
1766498957148,895,0.0,0,baseline
1766498959149,934,0.0,0,baseline
1766498961151,972,0.0,0,baseline
1766498963158,1011,0.0,0,baseline
1766498965159,1050,0.0,0,baseline
1766498967162,1089,0.0,0,baseline
1766498969163,1128,0.0,0,baseline
1766498971163,1167,0.0,0,baseline
1766498971553,1206,0.0,0,baseline
