timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766498983368,37,0.0,2,loss2
1766498985369,76,0.0,2,loss2
1766498987370,115,0.0,2,loss2
1766498989372,154,0.0,2,loss2
1766498991372,192,0.0,3,loss2
1766498993373,229,0.0,4,loss2
1766498995375,267,0.0,5,loss2
1766498997376,305,0.0,6,loss2
1766498999377,344,0.0,6,loss2
1766499001378,382,0.0,7,loss2
1766499001680,420,0.0,8,loss2
1766499003681,457,0.0,10,loss2
1766499005682,495,0.0,11,loss2
1766499007685,534,0.0,11,loss2
1766499009686,573,0.0,11,loss2
1766499011687,612,0.0,11,loss2
1766499013694,651,0.0,11,loss2
1766499015696,690,0.0,11,loss2
1766499017698,729,0.0,11,loss2
1766499019700,766,0.0,13,loss2
1766499021701,803,0.0,14,loss2
1766499023705,842,0.0,14,loss2
1766499025708,881,0.0,14,loss2
1766499027711,919,0.0,15,loss2
1766499029713,958,0.0,15,loss2
1766499031715,997,0.0,15,loss2
1766499032176,1035,0.0,16,loss2
1766499034178,1073,0.0,17,loss2
1766499036179,1111,0.0,18,loss2
1766499038180,1150,0.0,18,loss2
1766499040180,1188,0.0,19,loss2
