timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766498780984,39,0.0,0,baseline
1766498782985,78,0.0,0,baseline
1766498784987,117,0.0,0,baseline
1766498786989,156,0.0,0,baseline
1766498787325,194,0.0,0,baseline
1766498789339,201,0.0,0,baseline
1766498791341,241,0.0,0,baseline
1766498793342,280,0.0,0,baseline
1766498795343,318,0.0,0,baseline
1766498797344,357,0.0,0,baseline
1766498799344,396,0.0,0,baseline
1766498801345,434,0.0,0,baseline
1766498803346,472,0.0,0,baseline
1766498805347,511,0.0,0,baseline
1766498807354,550,0.0,0,baseline
1766498809356,589,0.0,0,baseline
1766498811359,627,0.0,0,baseline
1766498813360,666,0.0,0,baseline
1766498815361,706,0.0,0,baseline
1766498817362,745,0.0,0,baseline
1766498819363,783,0.0,0,baseline
1766498819668,822,0.0,0,baseline
1766498821668,861,0.0,0,baseline
1766498823672,900,0.0,0,baseline
1766498825673,939,0.0,0,baseline
1766498827676,977,0.0,0,baseline
1766498829677,1016,0.0,0,baseline
1766498831678,1055,0.0,0,baseline
1766498833681,1093,0.0,0,baseline
1766498835682,1132,0.0,0,baseline
1766498837683,1171,0.0,0,baseline
