timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499051667,36,0.0,3,loss2
1766499053668,74,0.0,3,loss2
1766499055670,111,0.0,5,loss2
1766499057672,151,0.0,5,loss2
1766499059675,189,0.0,5,loss2
1766499061676,227,0.0,6,loss2
1766499063677,266,0.0,6,loss2
1766499063946,305,0.0,6,loss2
1766499065947,344,0.0,6,loss2
1766499067949,382,0.0,6,loss2
1766499069950,420,0.0,7,loss2
1766499071951,459,0.0,7,loss2
1766499073952,497,0.0,8,loss2
1766499075953,536,0.0,8,loss2
1766499077955,574,0.0,9,loss2
1766499079972,614,0.0,9,loss2
1766499081976,651,0.0,10,loss2
1766499083978,689,0.0,11,loss2
1766499085979,728,0.0,11,loss2
1766499087979,765,0.0,13,loss2
1766499090010,803,0.0,14,loss2
1766499092011,841,0.0,15,loss2
1766499094014,880,0.0,15,loss2
1766499094306,918,0.0,16,loss2
1766499096307,957,0.0,16,loss2
1766499098309,995,0.0,17,loss2
1766499100354,1035,0.0,17,loss2
1766499102355,1072,0.0,19,loss2
1766499104356,1109,0.0,20,loss2
1766499106358,1148,0.0,20,loss2
1766499108360,1186,0.0,21,loss2
