timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765459926343,39,0.0,0,baseline
1765459928344,79,0.0,0,baseline
1765459930345,119,0.0,0,baseline
1765459932348,158,0.0,0,baseline
1765459934349,197,0.0,0,baseline
1765459936350,236,0.0,0,baseline
1765459938351,276,0.0,0,baseline
1765459940352,315,0.0,0,baseline
1765459942353,355,0.0,0,baseline
1765459944354,394,0.0,0,baseline
1765459946359,434,0.0,0,baseline
1765459948360,473,0.0,0,baseline
1765459950361,513,0.0,0,baseline
1765459952362,552,0.0,0,baseline
1765459954364,592,0.0,0,baseline
1765459955758,631,0.0,0,baseline
1765459957759,671,0.0,0,baseline
1765459959760,711,0.0,0,baseline
1765459961761,750,0.0,0,baseline
1765459963762,790,0.0,0,baseline
1765459965763,829,0.0,0,baseline
1765459967765,868,0.0,0,baseline
1765459969767,907,0.0,0,baseline
1765459971768,947,0.0,0,baseline
1765459973768,987,0.0,0,baseline
1765459975769,1026,0.0,0,baseline
1765459977771,1066,0.0,0,baseline
1765459979771,1105,0.0,0,baseline
1765459981773,1145,0.0,0,baseline
1765459983774,1184,0.0,0,baseline
1765459985775,1224,0.0,0,baseline
