timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460558795,40,0.0,0,loss2
1765460560798,78,0.0,1,loss2
1765460562800,117,0.0,2,loss2
1765460564802,156,0.0,2,loss2
1765460566805,194,0.0,4,loss2
1765460568806,233,0.0,4,loss2
1765460570808,270,0.0,6,loss2
1765460572812,309,0.0,6,loss2
1765460574813,349,0.0,6,loss2
1765460576815,386,0.0,8,loss2
1765460578817,425,0.0,8,loss2
1765460580819,462,0.0,10,loss2
1765460582820,499,0.0,13,loss2
1765460584821,538,0.0,13,loss2
1765460586823,575,0.0,15,loss2
1765460588826,612,0.0,17,loss2
1765460590104,652,0.0,18,loss2
1765460592106,689,0.0,20,loss2
1765460594109,728,0.0,20,loss2
1765460596110,766,0.0,22,loss2
1765460598133,806,0.0,22,loss2
1765460600159,843,0.0,24,loss2
1765460602164,880,0.0,26,loss2
1765460604167,919,0.0,26,loss2
1765460606169,958,0.0,26,loss2
1765460608190,997,0.0,27,loss2
1765460610209,1035,0.0,29,loss2
1765460612229,1073,0.0,29,loss2
1765460614246,1113,0.0,30,loss2
1765460616262,1152,0.0,30,loss2
1765460618279,1192,0.0,30,loss2
