timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766498645341,40,0.0,0,baseline
1766498647342,79,0.0,0,baseline
1766498649343,117,0.0,0,baseline
1766498651344,155,0.0,0,baseline
1766498653345,194,0.0,0,baseline
1766498655347,233,0.0,0,baseline
1766498657348,272,0.0,0,baseline
1766498659349,311,0.0,0,baseline
1766498661350,349,0.0,0,baseline
1766498663352,388,0.0,0,baseline
1766498665353,427,0.0,0,baseline
1766498665767,466,0.0,0,baseline
1766498667768,505,0.0,0,baseline
1766498669770,544,0.0,0,baseline
1766498671772,584,0.0,0,baseline
1766498673779,623,0.0,0,baseline
1766498675780,662,0.0,0,baseline
1766498677782,701,0.0,0,baseline
1766498679783,739,0.0,0,baseline
1766498681784,778,0.0,0,baseline
1766498683785,816,0.0,0,baseline
1766498685786,855,0.0,0,baseline
1766498687789,894,0.0,0,baseline
1766498689790,933,0.0,0,baseline
1766498691791,972,0.0,0,baseline
1766498693792,1011,0.0,0,baseline
1766498695793,1050,0.0,0,baseline
1766498696140,1089,0.0,0,baseline
1766498698142,1128,0.0,0,baseline
1766498700151,1167,0.0,0,baseline
1766498702153,1206,0.0,0,baseline
