timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766505379972,40,0.0,0,baseline
1766505381972,79,0.0,0,baseline
1766505383973,119,0.0,0,baseline
1766505385974,159,0.0,0,baseline
1766505387974,199,0.0,0,baseline
1766505389975,238,0.0,0,baseline
1766505391975,278,0.0,0,baseline
1766505394743,298,0.0,0,baseline
1766505396744,373,0.0,0,baseline
1766505398744,412,0.0,0,baseline
1766505400744,452,0.0,0,baseline
1766505402745,492,0.0,0,baseline
1766505404745,532,0.0,0,baseline
1766505406746,571,0.0,0,baseline
1766505408752,611,0.0,0,baseline
1766505410752,651,0.0,0,baseline
1766505412752,690,0.0,0,baseline
1766505414753,730,0.0,0,baseline
1766505416753,770,0.0,0,baseline
1766505418754,809,0.0,0,baseline
1766505420754,849,0.0,0,baseline
1766505422756,889,0.0,0,baseline
1766505424757,928,0.0,0,baseline
1766505426758,968,0.0,0,baseline
1766505428759,1008,0.0,0,baseline
1766505430760,1047,0.0,0,baseline
1766505432761,1087,0.0,0,baseline
1766505434761,1127,0.0,0,baseline
1766505436764,1167,0.0,0,baseline
1766505438765,1206,0.0,0,baseline
1766505440765,1246,0.0,0,baseline
1766505442765,1286,0.0,0,baseline
1766505444765,1326,0.0,0,baseline
1766505446766,1365,0.0,0,baseline
1766505448767,1405,0.0,0,baseline
1766505450768,1445,0.0,0,baseline
1766505452768,1484,0.0,0,baseline
1766505454769,1502,0.0,0,baseline
1766505456769,1502,0.0,0,baseline
1766505458773,1502,0.0,0,baseline
1766505462274,1502,0.0,0,baseline
1766505464275,1502,0.0,0,baseline
1766505466275,1502,0.0,0,baseline
1766505468275,1502,0.0,0,baseline
1766505470276,1502,0.0,0,baseline
1766505472280,1502,0.0,0,baseline
1766505474281,1502,0.0,0,baseline
1766505476281,1502,0.0,0,baseline
1766505478285,1502,0.0,0,baseline
1766505480285,1502,0.0,0,baseline
1766505482286,1502,0.0,0,baseline
1766505484289,1502,0.0,0,baseline
1766505486289,1502,0.0,0,baseline
1766505488295,1502,0.0,0,baseline
1766505490295,1502,0.0,0,baseline
1766505492295,1502,0.0,0,baseline
