timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460204440,39,0.0,0,baseline
1765460206441,79,0.0,0,baseline
1765460207746,118,0.0,0,baseline
1765460209748,157,0.0,0,baseline
1765460211749,197,0.0,0,baseline
1765460213751,236,0.0,0,baseline
1765460215753,276,0.0,0,baseline
1765460217767,316,0.0,0,baseline
1765460219768,355,0.0,0,baseline
1765460221773,394,0.0,0,baseline
1765460223775,434,0.0,0,baseline
1765460225776,473,0.0,0,baseline
1765460227778,512,0.0,0,baseline
1765460229779,551,0.0,0,baseline
1765460231823,592,0.0,0,baseline
1765460233824,631,0.0,0,baseline
1765460235829,670,0.0,0,baseline
1765460237830,710,0.0,0,baseline
1765460239208,749,0.0,0,baseline
1765460241209,789,0.0,0,baseline
1765460243210,828,0.0,0,baseline
1765460245213,868,0.0,0,baseline
1765460247215,907,0.0,0,baseline
1765460249219,946,0.0,0,baseline
1765460251221,985,0.0,0,baseline
1765460253223,1024,0.0,0,baseline
1765460255225,1064,0.0,0,baseline
1765460257227,1103,0.0,0,baseline
1765460259229,1142,0.0,0,baseline
1765460261231,1182,0.0,0,baseline
