timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766498848764,39,0.0,0,baseline
1766498849191,78,0.0,0,baseline
1766498851192,117,0.0,0,baseline
1766498853193,156,0.0,0,baseline
1766498855197,196,0.0,0,baseline
1766498857211,235,0.0,0,baseline
1766498859216,273,0.0,0,baseline
1766498861240,312,0.0,0,baseline
1766498863241,352,0.0,0,baseline
1766498865243,390,0.0,0,baseline
1766498867246,428,0.0,0,baseline
1766498869247,467,0.0,0,baseline
1766498871247,507,0.0,0,baseline
1766498873258,546,0.0,0,baseline
1766498875266,585,0.0,0,baseline
1766498877268,624,0.0,0,baseline
1766498879269,664,0.0,0,baseline
1766498879671,703,0.0,0,baseline
1766498881675,742,0.0,0,baseline
1766498883684,780,0.0,0,baseline
1766498885685,820,0.0,0,baseline
1766498887686,860,0.0,0,baseline
1766498889697,898,0.0,0,baseline
1766498891702,936,0.0,0,baseline
1766498893706,975,0.0,0,baseline
1766498895707,1015,0.0,0,baseline
1766498897740,1054,0.0,0,baseline
1766498899767,1092,0.0,0,baseline
1766498901768,1131,0.0,0,baseline
1766498903769,1171,0.0,0,baseline
1766498905787,1210,0.0,0,baseline
