timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460770975,40,0.0,0,loss5
1765460772976,79,0.0,1,loss5
1765460774977,116,0.0,4,loss5
1765460776980,152,0.0,7,loss5
1765460778982,191,0.0,8,loss5
1765460780985,229,0.0,10,loss5
1765460782986,269,0.0,10,loss5
1765460784988,308,0.0,11,loss5
1765460786989,345,0.0,13,loss5
1765460788990,382,0.0,16,loss5
1765460790991,421,0.0,17,loss5
1765460792992,459,0.0,19,loss5
1765460794992,497,0.0,20,loss5
1765460796993,533,0.0,24,loss5
1765460798994,572,0.0,25,loss5
1765460801035,610,0.0,27,loss5
1765460803036,646,0.0,31,loss5
1765460805038,686,0.0,31,loss5
1765460807039,718,0.0,38,loss5
1765460809040,758,0.0,38,loss5
1765460810582,795,0.0,41,loss5
1765460812584,833,0.0,43,loss5
1765460814585,869,0.0,46,loss5
1765460816586,905,0.0,50,loss5
1765460818588,943,0.0,52,loss5
1765460820590,981,0.0,53,loss5
1765460822592,1020,0.0,54,loss5
1765460824595,1059,0.0,55,loss5
1765460826596,1097,0.0,57,loss5
1765460828597,1133,0.0,60,loss5
