timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499868784,35,0.0,0,delay100
1766499870789,75,0.0,0,delay100
1766499872791,114,0.0,0,delay100
1766499874793,153,0.0,0,delay100
1766499876794,192,0.0,0,delay100
1766499878795,231,0.0,0,delay100
1766499880799,271,0.0,0,delay100
1766499882800,309,0.0,0,delay100
1766499884801,349,0.0,0,delay100
1766499886823,389,0.0,0,delay100
1766499887000,428,0.0,0,delay100
1766499889001,467,0.0,0,delay100
1766499891002,506,0.0,0,delay100
1766499893005,545,0.0,0,delay100
1766499895011,585,0.0,0,delay100
1766499897012,624,0.0,0,delay100
1766499899013,662,0.0,0,delay100
1766499901014,701,0.0,0,delay100
1766499903015,741,0.0,0,delay100
1766499905017,780,0.0,0,delay100
1766499907145,821,0.0,0,delay100
1766499909178,861,0.0,0,delay100
1766499911306,902,0.0,0,delay100
1766499913347,942,0.0,0,delay100
1766499915348,981,0.0,0,delay100
1766499917350,1020,0.0,0,delay100
1766499917572,1060,0.0,0,delay100
1766499919573,1099,0.0,0,delay100
1766499921575,1138,0.0,0,delay100
1766499923577,1177,0.0,0,delay100
