recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1766503373628,695,695,1766503373577,51,0,2,baseline
1766503373628,696,696,1766503373628,0,50,2,baseline
1766503373707,697,697,1766503373678,29,29,2,baseline
1766503373775,698,698,1766503373731,44,18,2,baseline
1766503373781,699,699,1766503373781,0,44,2,baseline
1766503373833,700,700,1766503373831,2,2,2,baseline
1766503373883,701,701,1766503373881,2,0,2,baseline
1766503373932,702,702,1766503373932,0,1,2,baseline
1766503373982,703,703,1766503373982,0,0,2,baseline
1766503374032,704,704,1766503374032,0,0,2,baseline
1766503374083,705,705,1766503374083,0,1,2,baseline
1766503374133,706,706,1766503374133,0,0,2,baseline
1766503374183,707,707,1766503374183,0,0,2,baseline
1766503374234,708,708,1766503374234,0,1,2,baseline
1766503374284,709,709,1766503374284,0,0,2,baseline
1766503374335,710,710,1766503374334,1,1,2,baseline
1766503374385,711,711,1766503374385,0,0,2,baseline
1766503374435,712,712,1766503374435,0,0,2,baseline
1766503374486,713,713,1766503374486,0,1,2,baseline
1766503374536,714,714,1766503374536,0,0,2,baseline
1766503374587,715,715,1766503374587,0,1,2,baseline
1766503374638,716,716,1766503374637,1,1,2,baseline
1766503374690,717,717,1766503374688,2,2,2,baseline
1766503374739,718,718,1766503374738,1,1,2,baseline
1766503374788,719,719,1766503374788,0,1,2,baseline
1766503374839,720,720,1766503374838,1,1,2,baseline
1766503374889,721,721,1766503374889,0,0,2,baseline
1766503374939,722,722,1766503374939,0,0,2,baseline
1766503374989,723,723,1766503374989,0,0,2,baseline
1766503375040,724,724,1766503375040,0,1,2,baseline
1766503375091,725,725,1766503375090,1,1,2,baseline
1766503375559,726,726,1766503375141,418,418,2,baseline
1766503375560,727,727,1766503375191,369,49,2,baseline
1766503375560,728,728,1766503375241,319,50,2,baseline
1766503375560,729,729,1766503375292,268,50,2,baseline
1766503375562,730,730,1766503375342,220,48,2,baseline
1766503375562,731,731,1766503375392,170,50,2,baseline
1766503375562,732,732,1766503375443,119,50,2,baseline
1766503375562,733,733,1766503375493,69,50,2,baseline
1766503375562,734,734,1766503375543,19,50,2,baseline
1766503375593,735,735,1766503375593,0,19,2,baseline
1766503375644,736,736,1766503375644,0,1,2,baseline
1766503375694,737,737,1766503375694,0,0,2,baseline
1766503375744,738,738,1766503375744,0,0,2,baseline
1766503375795,739,739,1766503375795,0,1,2,baseline
1766503375845,740,740,1766503375845,0,0,2,baseline
1766503375895,741,741,1766503375895,0,0,2,baseline
1766503375946,742,742,1766503375946,0,1,2,baseline
1766503375998,743,743,1766503375996,2,2,2,baseline
1766503376047,744,744,1766503376047,0,1,2,baseline
1766503376097,745,745,1766503376097,0,0,2,baseline
1766503376147,746,746,1766503376147,0,0,2,baseline
1766503376198,747,747,1766503376197,1,1,2,baseline
1766503376248,748,748,1766503376248,0,0,2,baseline
1766503376301,749,749,1766503376298,3,3,2,baseline
1766503376349,750,750,1766503376349,0,2,2,baseline
1766503376399,751,751,1766503376399,0,0,2,baseline
1766503376449,752,752,1766503376449,0,0,2,baseline
1766503376500,753,753,1766503376499,1,1,2,baseline
1766503376550,754,754,1766503376550,0,0,2,baseline
1766503376601,755,755,1766503376601,0,1,2,baseline
1766503376651,756,756,1766503376651,0,0,2,baseline
1766503376702,757,757,1766503376701,1,1,2,baseline
1766503376752,758,758,1766503376752,0,0,2,baseline
1766503376802,759,759,1766503376802,0,0,2,baseline
1766503376853,760,760,1766503376853,0,1,2,baseline
1766503376904,761,761,1766503376903,1,1,2,baseline
1766503376954,762,762,1766503376954,0,0,2,baseline
1766503377004,763,763,1766503377004,0,0,2,baseline
1766503377055,764,764,1766503377055,0,1,2,baseline
1766503377105,765,765,1766503377105,0,0,2,baseline
1766503377156,766,766,1766503377156,0,1,2,baseline
1766503377206,767,767,1766503377206,0,0,2,baseline
1766503377257,768,768,1766503377256,1,1,2,baseline
1766503377307,769,769,1766503377307,0,0,2,baseline
1766503377358,770,770,1766503377357,1,1,2,baseline
1766503377407,771,771,1766503377407,0,1,2,baseline
1766503377458,772,772,1766503377458,0,1,2,baseline
1766503377508,773,773,1766503377508,0,0,2,baseline
1766503377558,774,774,1766503377558,0,0,2,baseline
1766503377609,775,775,1766503377609,0,1,2,baseline
1766503377659,776,776,1766503377659,0,0,2,baseline
1766503377710,777,777,1766503377709,1,1,2,baseline
