timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765460982923,36,0.0,0,delay100
1765460984303,76,0.0,0,delay100
1765460986305,115,0.0,0,delay100
1765460988306,155,0.0,0,delay100
1765460990307,195,0.0,0,delay100
1765460992309,235,0.0,0,delay100
1765460994311,274,0.0,0,delay100
1765460996312,313,0.0,0,delay100
1765460998313,353,0.0,0,delay100
1765461000314,392,0.0,0,delay100
1765461002318,432,0.0,0,delay100
1765461004320,471,0.0,0,delay100
1765461006321,511,0.0,0,delay100
1765461008322,551,0.0,0,delay100
1765461010363,591,0.0,0,delay100
1765461012364,631,0.0,0,delay100
1765461014365,670,0.0,0,delay100
1765461015755,710,0.0,0,delay100
1765461017755,750,0.0,0,delay100
1765461019756,790,0.0,0,delay100
1765461021757,829,0.0,0,delay100
1765461023758,869,0.0,0,delay100
1765461025759,908,0.0,0,delay100
1765461027766,946,0.0,0,delay100
1765461029767,986,0.0,0,delay100
1765461031767,1026,0.0,0,delay100
1765461033770,1065,0.0,0,delay100
1765461035772,1104,0.0,0,delay100
1765461037773,1144,0.0,0,delay100
1765461039773,1183,0.0,0,delay100
1765461041774,1223,0.0,0,delay100
