timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499461204,37,0.0,2,loss5
1766499461230,76,0.0,3,loss5
1766499463235,112,0.0,6,loss5
1766499465236,151,0.0,6,loss5
1766499467238,188,0.0,8,loss5
1766499469238,225,0.0,10,loss5
1766499471249,262,0.0,12,loss5
1766499473254,297,0.0,16,loss5
1766499475257,334,0.0,17,loss5
1766499477260,373,0.0,17,loss5
1766499479264,412,0.0,18,loss5
1766499481267,448,0.0,20,loss5
1766499483269,487,0.0,20,loss5
1766499485272,522,0.0,24,loss5
1766499487273,559,0.0,26,loss5
1766499489280,597,0.0,27,loss5
1766499491283,636,0.0,27,loss5
1766499491599,672,0.0,29,loss5
1766499493603,710,0.0,31,loss5
1766499495607,748,0.0,32,loss5
1766499497608,783,0.0,35,loss5
1766499499611,822,0.0,35,loss5
1766499501614,859,0.0,37,loss5
1766499503616,896,0.0,39,loss5
1766499505618,933,0.0,41,loss5
1766499507619,970,0.0,43,loss5
1766499509620,1008,0.0,44,loss5
1766499511626,1043,0.0,46,loss5
1766499513629,1078,0.0,51,loss5
1766499515630,1116,0.0,52,loss5
1766499517631,1153,0.0,54,loss5
