timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499663912,35,0.0,0,delay100
1766499665914,73,0.0,0,delay100
1766499667915,112,0.0,0,delay100
1766499669917,151,0.0,0,delay100
1766499671920,189,0.0,0,delay100
1766499673944,229,0.0,0,delay100
1766499674170,269,0.0,0,delay100
1766499676279,310,0.0,0,delay100
1766499678332,350,0.0,0,delay100
1766499680334,389,0.0,0,delay100
1766499682337,428,0.0,0,delay100
1766499684339,467,0.0,0,delay100
1766499686342,506,0.0,0,delay100
1766499688344,545,0.0,0,delay100
1766499690432,585,0.0,0,delay100
1766499692504,626,0.0,0,delay100
1766499694576,666,0.0,0,delay100
1766499696690,707,0.0,0,delay100
1766499698774,748,0.0,0,delay100
1766499700891,789,0.0,0,delay100
1766499702985,830,0.0,0,delay100
1766499705099,871,0.0,0,delay100
1766499705362,912,0.0,0,delay100
1766499707457,953,0.0,0,delay100
1766499709496,992,0.0,0,delay100
1766499711515,1032,0.0,0,delay100
1766499713520,1071,0.0,0,delay100
1766499715521,1110,0.0,0,delay100
1766499717522,1149,0.0,0,delay100
1766499719523,1188,0.0,0,delay100
1766499721525,1227,0.0,0,delay100
