timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499256805,39,0.0,0,loss2
1766499258806,78,0.0,0,loss2
1766499260807,116,0.0,1,loss2
1766499262808,153,0.0,2,loss2
1766499264810,193,0.0,2,loss2
1766499266811,229,0.0,4,loss2
1766499268812,268,0.0,4,loss2
1766499270814,307,0.0,4,loss2
1766499272815,345,0.0,5,loss2
1766499274818,384,0.0,5,loss2
1766499276820,421,0.0,6,loss2
1766499277053,459,0.0,7,loss2
1766499279054,495,0.0,10,loss2
1766499281057,532,0.0,11,loss2
1766499283059,569,0.0,13,loss2
1766499285061,608,0.0,13,loss2
1766499287068,647,0.0,13,loss2
1766499289070,685,0.0,14,loss2
1766499291071,724,0.0,14,loss2
1766499293072,760,0.0,17,loss2
1766499295082,799,0.0,17,loss2
1766499297082,837,0.0,18,loss2
1766499299083,874,0.0,20,loss2
1766499301103,913,0.0,20,loss2
1766499303106,951,0.0,21,loss2
1766499305110,990,0.0,21,loss2
1766499307111,1028,0.0,23,loss2
1766499307355,1066,0.0,24,loss2
1766499309366,1071,0.0,24,loss2
1766499311367,1106,0.0,27,loss2
