recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1765460064214,77,77,1765460064128,86,0,2,baseline
1765460064217,78,78,1765460064179,38,47,2,baseline
1765460064229,79,79,1765460064229,0,38,2,baseline
1765460064280,80,80,1765460064280,0,1,2,baseline
1765460064331,81,81,1765460064331,0,1,2,baseline
1765460064382,82,82,1765460064381,1,1,2,baseline
1765460064432,83,83,1765460064432,0,0,2,baseline
1765460064483,84,84,1765460064482,1,1,2,baseline
1765460064533,85,85,1765460064533,0,0,2,baseline
1765460064583,86,86,1765460064583,0,0,2,baseline
1765460064634,87,87,1765460064633,1,1,2,baseline
1765460064685,88,88,1765460064685,0,1,2,baseline
1765460064736,89,89,1765460064736,0,1,2,baseline
1765460064788,90,90,1765460064787,1,2,2,baseline
1765460064838,91,91,1765460064838,0,0,2,baseline
1765460064890,92,92,1765460064890,0,2,2,baseline
1765460064942,93,93,1765460064941,1,2,2,baseline
1765460064995,94,94,1765460064993,2,3,2,baseline
1765460065045,95,95,1765460065044,1,0,2,baseline
1765460065096,96,96,1765460065094,2,1,2,baseline
1765460065146,97,97,1765460065145,1,0,2,baseline
1765460065197,98,98,1765460065195,2,1,2,baseline
1765460065247,99,99,1765460065245,2,0,2,baseline
1765460065297,100,100,1765460065296,1,0,2,baseline
1765460065348,101,101,1765460065346,2,1,2,baseline
1765460065396,102,102,1765460065396,0,2,2,baseline
1765460065447,103,103,1765460065446,1,1,2,baseline
1765460065497,104,104,1765460065496,1,0,2,baseline
1765460065547,105,105,1765460065547,0,0,2,baseline
1765460065597,106,106,1765460065597,0,0,2,baseline
1765460065648,107,107,1765460065647,1,1,2,baseline
1765460065699,108,108,1765460065698,1,1,2,baseline
1765460065750,109,109,1765460065748,2,1,2,baseline
1765460065799,110,110,1765460065799,0,1,2,baseline
1765460065849,111,111,1765460065849,0,0,2,baseline
1765460065900,112,112,1765460065900,0,1,2,baseline
1765460065951,113,113,1765460065950,1,1,2,baseline
1765460066001,114,114,1765460066001,0,0,2,baseline
1765460066052,115,115,1765460066052,0,1,2,baseline
1765460066104,116,116,1765460066102,2,2,2,baseline
1765460066153,117,117,1765460066153,0,1,2,baseline
1765460066204,118,118,1765460066203,1,1,2,baseline
1765460066254,119,119,1765460066254,0,0,2,baseline
1765460066306,120,120,1765460066306,0,2,2,baseline
1765460066357,121,121,1765460066356,1,1,2,baseline
1765460066407,122,122,1765460066407,0,0,2,baseline
1765460066458,123,123,1765460066457,1,1,2,baseline
1765460066508,124,124,1765460066507,1,0,2,baseline
1765460066558,125,125,1765460066558,0,0,2,baseline
1765460066609,126,126,1765460066608,1,1,2,baseline
1765460066659,127,127,1765460066658,1,0,2,baseline
1765460066709,128,128,1765460066709,0,0,2,baseline
1765460066759,129,129,1765460066759,0,0,2,baseline
1765460066810,130,130,1765460066809,1,1,2,baseline
1765460066860,131,131,1765460066859,1,0,2,baseline
1765460066910,132,132,1765460066910,0,0,2,baseline
1765460066960,133,133,1765460066960,0,0,2,baseline
1765460067010,134,134,1765460067010,0,0,2,baseline
1765460067060,135,135,1765460067060,0,0,2,baseline
1765460067112,136,136,1765460067110,2,2,2,baseline
1765460067161,137,137,1765460067161,0,1,2,baseline
1765460067212,138,138,1765460067212,0,1,2,baseline
1765460067263,139,139,1765460067262,1,1,2,baseline
1765460067313,140,140,1765460067312,1,0,2,baseline
1765460067364,141,141,1765460067363,1,1,2,baseline
1765460067414,142,142,1765460067414,0,0,2,baseline
1765460067465,143,143,1765460067464,1,1,2,baseline
1765460067515,144,144,1765460067515,0,0,2,baseline
1765460067565,145,145,1765460067565,0,0,2,baseline
1765460067616,146,146,1765460067616,0,1,2,baseline
1765460067667,147,147,1765460067666,1,1,2,baseline
1765460067718,148,148,1765460067717,1,1,2,baseline
1765460067768,149,149,1765460067767,1,0,2,baseline
1765460067818,150,150,1765460067818,0,0,2,baseline
1765460067870,151,151,1765460067869,1,2,2,baseline
1765460067919,152,152,1765460067919,0,1,2,baseline
1765460067970,153,153,1765460067970,0,1,2,baseline
1765460068021,154,154,1765460068021,0,1,2,baseline
1765460068072,155,155,1765460068071,1,1,2,baseline
1765460068122,156,156,1765460068122,0,0,2,baseline
1765460068172,157,157,1765460068172,0,0,2,baseline
1765460068223,158,158,1765460068222,1,1,2,baseline
1765460068273,159,159,1765460068272,1,0,2,baseline
1765460068323,160,160,1765460068323,0,0,2,baseline
1765460068373,161,161,1765460068373,0,0,2,baseline
1765460068424,162,162,1765460068424,0,1,2,baseline
1765460068474,163,163,1765460068474,0,0,2,baseline
1765460068524,164,164,1765460068524,0,0,2,baseline
1765460068575,165,165,1765460068575,0,1,2,baseline
1765460068626,166,166,1765460068626,0,1,2,baseline
1765460068677,167,167,1765460068676,1,1,2,baseline
1765460068728,168,168,1765460068727,1,1,2,baseline
1765460068779,169,169,1765460068778,1,1,2,baseline
1765460068829,170,170,1765460068829,0,0,2,baseline
1765460068879,171,171,1765460068879,0,0,2,baseline
1765460068930,172,172,1765460068930,0,1,2,baseline
1765460068980,173,173,1765460068980,0,0,2,baseline
1765460069030,174,174,1765460069030,0,0,2,baseline
1765460069081,175,175,1765460069081,0,1,2,baseline
1765460069131,176,176,1765460069131,0,0,2,baseline
1765460069182,177,177,1765460069181,1,1,2,baseline
1765460069232,178,178,1765460069232,0,0,2,baseline
1765460069283,179,179,1765460069283,0,1,2,baseline
1765460069334,180,180,1765460069334,0,1,2,baseline
1765460069385,181,181,1765460069385,0,1,2,baseline
1765460069435,182,182,1765460069435,0,0,2,baseline
1765460069488,183,183,1765460069486,2,3,2,baseline
1765460069537,184,184,1765460069536,1,1,2,baseline
1765460069587,185,185,1765460069587,0,0,2,baseline
1765460069638,186,186,1765460069637,1,1,2,baseline
1765460069688,187,187,1765460069688,0,0,2,baseline
1765460069739,188,188,1765460069739,0,1,2,baseline
1765460069790,189,189,1765460069789,1,1,2,baseline
1765460069840,190,190,1765460069840,0,0,2,baseline
1765460069891,191,191,1765460069890,1,1,2,baseline
1765460069941,192,192,1765460069941,0,0,2,baseline
1765460069992,193,193,1765460069992,0,1,2,baseline
1765460070043,194,194,1765460070043,0,1,2,baseline
1765460070095,195,195,1765460070094,1,2,2,baseline
1765460070146,196,196,1765460070144,2,1,2,baseline
1765460070196,197,197,1765460070195,1,0,2,baseline
1765460070246,198,198,1765460070245,1,0,2,baseline
1765460070296,199,199,1765460070295,1,0,2,baseline
1765460070346,200,200,1765460070346,0,0,2,baseline
1765460070396,201,201,1765460070396,0,0,2,baseline
1765460070447,202,202,1765460070446,1,1,2,baseline
1765460070498,203,203,1765460070497,1,1,2,baseline
1765460070548,204,204,1765460070547,1,0,2,baseline
1765460070598,205,205,1765460070597,1,0,2,baseline
1765460070648,206,206,1765460070648,0,0,2,baseline
1765460070698,207,207,1765460070698,0,0,2,baseline
1765460070749,208,208,1765460070748,1,1,2,baseline
1765460070800,209,209,1765460070799,1,1,2,baseline
1765460070850,210,210,1765460070850,0,0,2,baseline
1765460070900,211,211,1765460070900,0,0,2,baseline
1765460070950,212,212,1765460070950,0,0,2,baseline
1765460071001,213,213,1765460071001,0,1,2,baseline
1765460071052,214,214,1765460071051,1,1,2,baseline
1765460071103,215,215,1765460071102,1,1,2,baseline
1765460071153,216,216,1765460071153,0,0,2,baseline
1765460071204,217,217,1765460071204,0,1,2,baseline
1765460071255,218,218,1765460071254,1,1,2,baseline
1765460071305,219,219,1765460071305,0,0,2,baseline
1765460071356,220,220,1765460071355,1,1,2,baseline
1765460071406,221,221,1765460071406,0,0,2,baseline
1765460071458,222,222,1765460071457,1,2,2,baseline
1765460071508,223,223,1765460071507,1,0,2,baseline
1765460071558,224,224,1765460071558,0,0,2,baseline
1765460071609,225,225,1765460071609,0,1,2,baseline
1765460071660,226,226,1765460071659,1,1,2,baseline
1765460071711,227,227,1765460071710,1,1,2,baseline
1765460071761,228,228,1765460071761,0,0,2,baseline
1765460071812,229,229,1765460071812,0,1,2,baseline
1765460071863,230,230,1765460071862,1,1,2,baseline
1765460071913,231,231,1765460071913,0,0,2,baseline
1765460071965,232,232,1765460071964,1,2,2,baseline
1765460072015,233,233,1765460072015,0,0,2,baseline
1765460072066,234,234,1765460072066,0,1,2,baseline
1765460072116,235,235,1765460072116,0,0,2,baseline
1765460072167,236,236,1765460072166,1,1,2,baseline
1765460072217,237,237,1765460072216,1,0,2,baseline
1765460072268,238,238,1765460072267,1,1,2,baseline
1765460072318,239,239,1765460072317,1,0,2,baseline
1765460072368,240,240,1765460072367,1,0,2,baseline
1765460072418,241,241,1765460072418,0,0,2,baseline
1765460072468,242,242,1765460072468,0,0,2,baseline
1765460072519,243,243,1765460072518,1,1,2,baseline
1765460072569,244,244,1765460072568,1,0,2,baseline
1765460072619,245,245,1765460072619,0,0,2,baseline
1765460072669,246,246,1765460072669,0,0,2,baseline
1765460072720,247,247,1765460072719,1,1,2,baseline
1765460072770,248,248,1765460072769,1,0,2,baseline
1765460072820,249,249,1765460072820,0,0,2,baseline
1765460072871,250,250,1765460072870,1,1,2,baseline
1765460072921,251,251,1765460072921,0,0,2,baseline
1765460072973,252,252,1765460072971,2,2,2,baseline
1765460073022,253,253,1765460073022,0,1,2,baseline
1765460073073,254,254,1765460073072,1,1,2,baseline
1765460073124,255,255,1765460073123,1,1,2,baseline
1765460073174,256,256,1765460073174,0,0,2,baseline
1765460073225,257,257,1765460073225,0,1,2,baseline
1765460073275,258,258,1765460073275,0,0,2,baseline
1765460073326,259,259,1765460073326,0,1,2,baseline
1765460073377,260,260,1765460073377,0,1,2,baseline
1765460073427,261,261,1765460073427,0,0,2,baseline
1765460073480,262,262,1765460073478,2,3,2,baseline
1765460073529,263,263,1765460073529,0,1,2,baseline
1765460073579,264,264,1765460073579,0,0,2,baseline
1765460073630,265,265,1765460073630,0,1,2,baseline
1765460073681,266,266,1765460073681,0,1,2,baseline
1765460073731,267,267,1765460073731,0,0,2,baseline
1765460073782,268,268,1765460073782,0,1,2,baseline
1765460073833,269,269,1765460073833,0,1,2,baseline
1765460073884,270,270,1765460073883,1,1,2,baseline
1765460073934,271,271,1765460073934,0,0,2,baseline
1765460073986,272,272,1765460073985,1,2,2,baseline
1765460074035,273,273,1765460074035,0,1,2,baseline
1765460074086,274,274,1765460074086,0,1,2,baseline
1765460074137,275,275,1765460074137,0,1,2,baseline
1765460074188,276,276,1765460074187,1,1,2,baseline
1765460074238,277,277,1765460074238,0,0,2,baseline
1765460074289,278,278,1765460074289,0,1,2,baseline
1765460074339,279,279,1765460074339,0,0,2,baseline
1765460074390,280,280,1765460074390,0,1,2,baseline
1765460074441,281,281,1765460074440,1,1,2,baseline
1765460074491,282,282,1765460074491,0,0,2,baseline
1765460074542,283,283,1765460074542,0,1,2,baseline
1765460074593,284,284,1765460074592,1,1,2,baseline
1765460074643,285,285,1765460074643,0,0,2,baseline
1765460074694,286,286,1765460074694,0,1,2,baseline
1765460074745,287,287,1765460074744,1,1,2,baseline
1765460074795,288,288,1765460074795,0,0,2,baseline
1765460074845,289,289,1765460074845,0,0,2,baseline
1765460074896,290,290,1765460074895,1,1,2,baseline
1765460074946,291,291,1765460074946,0,0,2,baseline
1765460074997,292,292,1765460074997,0,1,2,baseline
1765460075047,293,293,1765460075047,0,0,2,baseline
1765460075098,294,294,1765460075098,0,1,2,baseline
1765460075151,295,295,1765460075149,2,3,2,baseline
1765460075200,296,296,1765460075200,0,1,2,baseline
1765460075251,297,297,1765460075251,0,1,2,baseline
1765460075302,298,298,1765460075301,1,1,2,baseline
1765460075352,299,299,1765460075352,0,0,2,baseline
1765460075404,300,300,1765460075403,1,2,2,baseline
1765460075454,301,301,1765460075454,0,0,2,baseline
1765460075505,302,302,1765460075505,0,1,2,baseline
1765460075556,303,303,1765460075555,1,1,2,baseline
1765460075608,304,304,1765460075606,2,2,2,baseline
1765460075657,305,305,1765460075657,0,1,2,baseline
1765460075707,306,306,1765460075707,0,0,2,baseline
1765460075757,307,307,1765460075757,0,0,2,baseline
1765460075808,308,308,1765460075807,1,1,2,baseline
1765460075858,309,309,1765460075858,0,0,2,baseline
1765460075908,310,310,1765460075908,0,0,2,baseline
1765460075958,311,311,1765460075958,0,0,2,baseline
1765460076009,312,312,1765460076009,0,1,2,baseline
1765460076059,313,313,1765460076059,0,0,2,baseline
1765460076110,314,314,1765460076109,1,1,2,baseline
1765460076161,315,315,1765460076160,1,1,2,baseline
1765460076211,316,316,1765460076210,1,0,2,baseline
1765460076262,317,317,1765460076261,1,1,2,baseline
1765460076312,318,318,1765460076312,0,0,2,baseline
1765460076363,319,319,1765460076363,0,1,2,baseline
1765460076414,320,320,1765460076413,1,1,2,baseline
1765460076464,321,321,1765460076464,0,0,2,baseline
1765460076515,322,322,1765460076514,1,1,2,baseline
1765460076566,323,323,1765460076565,1,1,2,baseline
1765460076616,324,324,1765460076616,0,0,2,baseline
1765460076667,325,325,1765460076666,1,1,2,baseline
1765460076717,326,326,1765460076716,1,0,2,baseline
1765460076768,327,327,1765460076767,1,1,2,baseline
1765460076818,328,328,1765460076818,0,0,2,baseline
1765460076869,329,329,1765460076869,0,1,2,baseline
1765460076919,330,330,1765460076919,0,0,2,baseline
1765460076970,331,331,1765460076970,0,1,2,baseline
1765460077021,332,332,1765460077020,1,1,2,baseline
1765460077071,333,333,1765460077071,0,0,2,baseline
1765460077122,334,334,1765460077121,1,1,2,baseline
1765460077172,335,335,1765460077172,0,0,2,baseline
1765460077222,336,336,1765460077222,0,0,2,baseline
1765460077273,337,337,1765460077272,1,1,2,baseline
1765460077323,338,338,1765460077323,0,0,2,baseline
1765460077374,339,339,1765460077374,0,1,2,baseline
1765460077425,340,340,1765460077424,1,1,2,baseline
1765460077475,341,341,1765460077475,0,0,2,baseline
1765460077526,342,342,1765460077526,0,1,2,baseline
1765460077577,343,343,1765460077576,1,1,2,baseline
1765460077627,344,344,1765460077626,1,0,2,baseline
1765460077678,345,345,1765460077677,1,1,2,baseline
1765460077728,346,346,1765460077728,0,0,2,baseline
1765460077779,347,347,1765460077778,1,1,2,baseline
1765460077830,348,348,1765460077829,1,1,2,baseline
1765460077880,349,349,1765460077879,1,0,2,baseline
1765460077931,350,350,1765460077930,1,1,2,baseline
1765460077983,351,351,1765460077981,2,2,2,baseline
1765460078033,352,352,1765460078032,1,0,2,baseline
1765460078083,353,353,1765460078082,1,0,2,baseline
1765460078133,354,354,1765460078133,0,0,2,baseline
1765460078184,355,355,1765460078183,1,1,2,baseline
1765460078234,356,356,1765460078234,0,0,2,baseline
1765460078285,357,357,1765460078285,0,1,2,baseline
1765460078336,358,358,1765460078335,1,1,2,baseline
1765460078386,359,359,1765460078386,0,0,2,baseline
1765460078437,360,360,1765460078436,1,1,2,baseline
1765460078487,361,361,1765460078487,0,0,2,baseline
1765460078537,362,362,1765460078537,0,0,2,baseline
1765460078588,363,363,1765460078588,0,1,2,baseline
1765460078638,364,364,1765460078638,0,0,2,baseline
1765460078689,365,365,1765460078689,0,1,2,baseline
1765460078741,366,366,1765460078739,2,2,2,baseline
1765460078790,367,367,1765460078790,0,1,2,baseline
1765460078841,368,368,1765460078840,1,1,2,baseline
1765460078891,369,369,1765460078891,0,0,2,baseline
1765460078941,370,370,1765460078941,0,0,2,baseline
1765460078992,371,371,1765460078992,0,1,2,baseline
1765460079042,372,372,1765460079042,0,0,2,baseline
1765460079093,373,373,1765460079092,1,1,2,baseline
1765460079144,374,374,1765460079143,1,1,2,baseline
1765460079194,375,375,1765460079193,1,0,2,baseline
1765460079244,376,376,1765460079244,0,0,2,baseline
1765460079295,377,377,1765460079295,0,1,2,baseline
1765460079346,378,378,1765460079345,1,1,2,baseline
1765460079397,379,379,1765460079396,1,1,2,baseline
1765460079447,380,380,1765460079446,1,0,2,baseline
1765460079497,381,381,1765460079497,0,0,2,baseline
1765460079548,382,382,1765460079548,0,1,2,baseline
1765460079599,383,383,1765460079598,1,1,2,baseline
1765460079649,384,384,1765460079649,0,0,2,baseline
1765460079699,385,385,1765460079699,0,0,2,baseline
1765460079750,386,386,1765460079750,0,1,2,baseline
1765460079801,387,387,1765460079801,0,1,2,baseline
1765460079852,388,388,1765460079851,1,1,2,baseline
1765460079903,389,389,1765460079902,1,1,2,baseline
1765460079954,390,390,1765460079953,1,1,2,baseline
1765460080003,391,391,1765460080003,0,1,2,baseline
1765460080054,392,392,1765460080054,0,1,2,baseline
1765460080105,393,393,1765460080104,1,1,2,baseline
1765460080155,394,394,1765460080155,0,0,2,baseline
1765460080206,395,395,1765460080205,1,1,2,baseline
1765460080256,396,396,1765460080256,0,0,2,baseline
1765460080307,397,397,1765460080307,0,1,2,baseline
1765460080358,398,398,1765460080358,0,1,2,baseline
1765460080409,399,399,1765460080408,1,1,2,baseline
1765460080459,400,400,1765460080459,0,0,2,baseline
1765460080511,401,401,1765460080509,2,2,2,baseline
1765460080561,402,402,1765460080560,1,0,2,baseline
1765460080611,403,403,1765460080610,1,0,2,baseline
1765460080661,404,404,1765460080661,0,0,2,baseline
1765460080712,405,405,1765460080712,0,1,2,baseline
1765460080763,406,406,1765460080762,1,1,2,baseline
1765460080813,407,407,1765460080813,0,0,2,baseline
1765460080863,408,408,1765460080863,0,0,2,baseline
1765460080913,409,409,1765460080913,0,0,2,baseline
1765460080964,410,410,1765460080963,1,1,2,baseline
1765460080250,411,411,1765460080250,0,764,2,baseline
1765460080302,412,412,1765460080300,2,2,2,baseline
1765460080353,413,413,1765460080351,2,1,2,baseline
1765460080402,414,414,1765460080401,1,1,2,baseline
1765460080453,415,415,1765460080452,1,1,2,baseline
1765460080503,416,416,1765460080503,0,0,2,baseline
1765460080554,417,417,1765460080553,1,1,2,baseline
1765460080605,418,418,1765460080604,1,1,2,baseline
