send_time_ms,snapshot_id,seq_num,clients_count,cpu_percent,payload_bytes
1766489998339,0,0,0,0.0,101
1766489998390,1,1,0,0.0,202
1766489998440,2,2,0,0.0,303
1766489998490,3,3,0,0.0,303
1766489998541,4,4,0,0.0,303
1766489998592,5,5,0,0.0,303
1766489998642,6,6,0,0.0,303
1766489998693,7,7,0,0.0,303
1766489998743,8,8,0,0.0,303
1766489998793,9,9,0,0.0,303
1766489998844,10,10,0,0.0,303
1766489998894,11,11,0,0.0,303
1766489998944,12,12,0,0.0,303
1766489998995,13,13,0,0.0,303
1766489999046,14,14,0,0.0,303
1766489999096,15,15,0,0.0,303
1766489999146,16,16,0,0.0,303
1766489999197,17,17,0,0.0,303
1766489999247,18,18,0,0.0,303
1766489999297,19,19,0,0.0,303
1766489999347,20,20,0,0.0,303
1766489999398,21,21,0,0.0,303
1766489999448,22,22,0,0.0,303
1766489999499,23,23,0,0.0,303
1766489999549,24,24,0,0.0,303
1766489999599,25,25,0,0.0,303
1766489999650,26,26,0,0.0,303
1766489999700,27,27,0,0.0,303
1766489999751,28,28,0,0.0,303
1766489999801,29,29,0,0.0,303
1766489999851,30,30,0,0.0,303
1766489999901,31,31,0,0.0,303
1766489999951,32,32,0,0.0,303
1766490000002,33,33,0,0.0,303
1766490000052,34,34,0,0.0,303
1766490000103,35,35,0,0.0,303
1766490000153,36,36,0,0.0,303
1766490000203,37,37,0,0.0,303
1766490000254,38,38,0,0.0,303
1766490000304,39,39,0,0.0,303
1766490000354,40,40,0,0.0,303
1766490000405,41,41,0,0.0,303
1766490000455,42,42,0,0.0,303
1766490000505,43,43,0,0.0,303
1766490000555,44,44,0,0.0,303
1766490000605,45,45,0,0.0,303
1766490000656,46,46,0,0.0,303
1766490000706,47,47,0,31.0,303
1766490000756,48,48,0,0.0,303
1766490000806,49,49,0,0.0,303
1766490000857,50,50,0,31.1,303
1766490000907,51,51,0,0.0,303
1766490000957,52,52,0,0.0,303
1766490001008,53,53,0,0.0,303
1766490001058,54,54,0,0.0,303
1766490001108,55,55,0,0.0,303
1766490001159,56,56,0,0.0,303
1766490001209,57,57,0,0.0,303
1766490001259,58,58,0,0.0,303
1766490001310,59,59,0,0.0,303
1766490001360,60,60,0,0.0,303
1766490001410,61,61,0,0.0,303
1766490001460,62,62,0,0.0,303
1766490001511,63,63,0,0.0,303
1766490001561,64,64,0,0.0,303
1766490001612,65,65,0,0.0,303
1766490001662,66,66,0,0.0,303
1766490001712,67,67,0,0.0,303
1766490001762,68,68,0,0.0,303
1766490001812,69,69,0,0.0,303
1766490001862,70,70,0,31.0,303
1766490001913,71,71,0,0.0,303
1766490001963,72,72,0,0.0,303
1766490002014,73,73,0,0.0,303
1766490002064,74,74,0,0.0,303
1766490002115,75,75,0,0.0,303
1766490002165,76,76,0,0.0,303
1766490002216,77,77,0,0.0,303
1766490002266,78,78,0,0.0,303
1766490002316,79,79,0,0.0,303
1766490002366,80,80,0,0.0,303
1766490002417,81,81,0,0.0,303
1766490002467,82,82,0,0.0,303
1766490002517,83,83,0,0.0,303
1766490002567,84,84,0,0.0,303
1766490002618,85,85,0,0.0,303
1766490002669,86,86,0,0.0,303
1766490002719,87,87,0,0.0,303
1766490002769,88,88,0,0.0,303
1766490002819,89,89,0,0.0,303
1766490002869,90,90,0,0.0,303
1766490002920,91,91,0,0.0,303
1766490002970,92,92,0,0.0,303
1766490003020,93,93,0,0.0,303
1766490003071,94,94,0,0.0,303
1766490003122,95,95,0,0.0,303
1766490003172,96,96,0,0.0,303
1766490003223,97,97,0,0.0,303
1766490003273,98,98,0,0.0,303
1766490003323,99,99,0,0.0,303
1766490003374,100,100,0,0.0,303
1766490003424,101,101,0,0.0,303
1766490003474,102,102,0,0.0,303
1766490003524,103,103,0,0.0,303
1766490003574,104,104,0,0.0,303
1766490003625,105,105,0,0.0,303
1766490003677,106,106,0,0.0,303
1766490003727,107,107,0,0.0,303
1766490003777,108,108,0,0.0,303
1766490003827,109,109,0,0.0,303
1766490003878,110,110,0,0.0,303
1766490003928,111,111,0,0.0,303
1766490003978,112,112,0,0.0,303
1766490004029,113,113,0,0.0,303
1766490004079,114,114,0,0.0,303
1766490004130,115,115,0,0.0,303
1766490004180,116,116,0,0.0,303
1766490004231,117,117,0,0.0,303
1766490004281,118,118,0,0.0,303
1766490004332,119,119,0,0.0,303
1766490004382,120,120,0,0.0,303
1766490004432,121,121,0,0.0,303
1766490004483,122,122,0,0.0,303
1766490004533,123,123,0,0.0,303
1766490004583,124,124,0,0.0,303
1766490004635,125,125,0,0.0,303
1766490004685,126,126,0,0.0,303
1766490004735,127,127,0,0.0,303
1766490004787,128,128,0,0.0,303
1766490004837,129,129,0,0.0,303
1766490004887,130,130,0,0.0,303
1766490004938,131,131,0,0.0,303
1766490004988,132,132,0,0.0,303
1766490005038,133,133,0,0.0,303
1766490005088,134,134,0,0.0,303
1766490005139,135,135,0,0.0,303
1766490005190,136,136,0,0.0,303
1766490005240,137,137,0,0.0,303
1766490005290,138,138,0,0.0,303
1766490005341,139,139,0,0.0,303
1766490005391,140,140,0,0.0,303
1766490005441,141,141,0,0.0,303
1766490005492,142,142,0,0.0,303
1766490005542,143,143,0,0.0,303
1766490005592,144,144,0,0.0,303
1766490005642,145,145,0,0.0,303
1766490005693,146,146,0,0.0,303
1766490005743,147,147,0,0.0,303
1766490005794,148,148,0,0.0,303
1766490005845,149,149,0,0.0,303
1766490005895,150,150,0,0.0,303
1766490005945,151,151,0,0.0,303
1766490005995,152,152,0,0.0,303
1766490006046,153,153,0,0.0,303
