recv_time_ms,snapshot_id,seq_num,server_ts,latency_ms,jitter_ms
1765313826660,1056,1056,1765313826660,0,53
1765313826712,1057,1057,1765313826712,0,52
1765313826766,1058,1058,1765313826765,1,53
1765313826817,1059,1059,1765313826817,0,51
1765313826871,1060,1060,1765313826871,0,54
1765313826925,1061,1061,1765313826925,0,54
1765313826980,1062,1062,1765313826980,0,55
1765313827034,1063,1063,1765313827034,0,54
1765313827085,1064,1064,1765313827085,0,51
1765313827140,1065,1065,1765313827140,0,55
1765313827193,1066,1066,1765313827193,0,53
1765313827248,1067,1067,1765313827248,0,55
1765313827303,1068,1068,1765313827303,0,55
1765313827358,1069,1069,1765313827358,0,55
1765313827413,1070,1070,1765313827413,0,55
1765313827464,1071,1071,1765313827464,0,51
1765313827519,1072,1072,1765313827518,1,54
1765313827573,1073,1073,1765313827573,0,54
1765313827626,1074,1074,1765313827625,1,52
1765313827681,1075,1075,1765313827680,1,54
1765313827735,1076,1076,1765313827734,1,53
1765313827790,1077,1077,1765313827789,1,54
1765313827843,1078,1078,1765313827843,0,53
1765313827897,1079,1079,1765313827897,0,54
1765313827952,1080,1080,1765313827952,0,55
1765313828004,1081,1081,1765313828003,1,51
1765313828054,1082,1082,1765313828054,0,50
1765313828107,1083,1083,1765313828107,0,53
1765313828162,1084,1084,1765313828162,0,55
1765313828217,1085,1085,1765313828217,0,55
1765313828272,1086,1086,1765313828272,0,55
1765313828328,1087,1087,1765313828327,1,55
1765313828382,1088,1088,1765313828382,0,54
1765313828437,1089,1089,1765313828437,0,55
1765313828492,1090,1090,1765313828492,0,55
1765313828547,1091,1091,1765313828547,0,55
1765313828601,1092,1092,1765313828601,0,54
1765313828656,1093,1093,1765313828656,0,55
1765313828710,1094,1094,1765313828709,1,53
1765313828765,1095,1095,1765313828764,1,54
1765313828820,1096,1096,1765313828819,1,54
1765313828875,1097,1097,1765313828874,1,54
1765313828930,1098,1098,1765313828930,0,55
1765313828984,1099,1099,1765313828984,0,54
1765313829039,1100,1100,1765313829039,0,55
1765313829094,1101,1101,1765313829094,0,55
1765313829149,1102,1102,1765313829149,0,55
1765313829204,1103,1103,1765313829204,0,55
1765313829256,1104,1104,1765313829256,0,52
1765313829311,1105,1105,1765313829311,0,55
1765313829362,1106,1106,1765313829361,1,50
1765313829417,1107,1107,1765313829416,1,54
1765313829469,1108,1108,1765313829469,0,52
1765313829524,1109,1109,1765313829524,0,55
1765313829576,1110,1110,1765313829576,0,52
1765313829629,1111,1111,1765313829629,0,53
1765313829684,1112,1112,1765313829684,0,55
1765313829735,1113,1113,1765313829735,0,51
1765313829785,1114,1114,1765313829785,0,50
1765313829840,1115,1115,1765313829840,0,55
1765313829895,1116,1116,1765313829895,0,55
1765313829949,1117,1117,1765313829949,0,54
1765313830004,1118,1118,1765313830004,0,55
1765313830055,1119,1119,1765313830054,1,50
1765313830110,1120,1120,1765313830109,1,54
1765313830162,1121,1121,1765313830162,0,52
1765313830216,1122,1122,1765313830216,0,54
1765313830266,1123,1123,1765313830266,0,50
1765313830319,1124,1124,1765313830318,1,52
1765313830369,1125,1125,1765313830368,1,49
1765313830421,1126,1126,1765313830421,0,52
1765313830476,1127,1127,1765313830476,0,55
1765313830531,1128,1128,1765313830530,1,54
1765313830585,1129,1129,1765313830584,1,53
1765313830636,1130,1130,1765313830635,1,50
1765313830689,1131,1131,1765313830689,0,53
1765313830744,1132,1132,1765313830744,0,55
1765313830795,1133,1133,1765313830795,0,51
1765313830850,1134,1134,1765313830850,0,55
1765313830901,1135,1135,1765313830901,0,51
1765313830952,1136,1136,1765313830952,0,51
1765313831003,1137,1137,1765313831002,1,50
1765313831058,1138,1138,1765313831057,1,54
1765313831113,1139,1139,1765313831112,1,54
1765313831167,1140,1140,1765313831167,0,54
1765313831222,1141,1141,1765313831222,0,55
1765313831276,1142,1142,1765313831276,0,54
1765313831327,1143,1143,1765313831327,0,51
1765313831382,1144,1144,1765313831382,0,55
1765313831437,1145,1145,1765313831437,0,55
1765313831489,1146,1146,1765313831488,1,51
1765313831539,1147,1147,1765313831539,0,50
1765313831594,1148,1148,1765313831594,0,55
1765313831649,1149,1149,1765313831648,1,54
1765313831699,1150,1150,1765313831699,0,50
1765313831754,1151,1151,1765313831754,0,55
1765313831809,1152,1152,1765313831809,0,55
1765313831862,1153,1153,1765313831862,0,53
1765313831913,1154,1154,1765313831912,1,50
1765313831964,1155,1155,1765313831964,0,51
1765313832018,1156,1156,1765313832018,0,54
1765313832072,1157,1157,1765313832072,0,54
1765313832127,1158,1158,1765313832127,0,55
1765313832182,1159,1159,1765313832182,0,55
1765313832236,1160,1160,1765313832236,0,54
1765313832290,1161,1161,1765313832290,0,54
1765313832344,1162,1162,1765313832343,1,53
1765313832398,1163,1163,1765313832398,0,54
1765313832451,1164,1164,1765313832451,0,53
1765313832505,1165,1165,1765313832505,0,54
1765313832556,1166,1166,1765313832555,1,50
1765313832610,1167,1167,1765313832609,1,53
1765313832665,1168,1168,1765313832664,1,54
1765313832720,1169,1169,1765313832719,1,54
1765313832770,1170,1170,1765313832770,0,50
1765313832822,1171,1171,1765313832822,0,52
1765313832875,1172,1172,1765313832875,0,53
1765313832928,1173,1173,1765313832928,0,53
1765313832981,1174,1174,1765313832981,0,53
1765313833032,1175,1175,1765313833032,0,51
1765313833085,1176,1176,1765313833085,0,53
1765313833140,1177,1177,1765313833140,0,55
1765313833194,1178,1178,1765313833194,0,54
1765313833249,1179,1179,1765313833249,0,55
1765313833304,1180,1180,1765313833303,1,54
1765313833359,1181,1181,1765313833358,1,54
1765313833413,1182,1182,1765313833413,0,54
1765313833468,1183,1183,1765313833468,0,55
1765313833524,1184,1184,1765313833523,1,55
1765313833579,1185,1185,1765313833578,1,54
1765313833630,1186,1186,1765313833630,0,51
1765313833685,1187,1187,1765313833685,0,55
1765313833740,1188,1188,1765313833740,0,55
1765313833795,1189,1189,1765313833795,0,55
1765313833848,1190,1190,1765313833848,0,53
1765313833899,1191,1191,1765313833899,0,51
1765313833952,1192,1192,1765313833952,0,53
1765313834007,1193,1193,1765313834007,0,55
1765313834060,1194,1194,1765313834059,1,52
1765313834115,1195,1195,1765313834114,1,54
1765313834166,1196,1196,1765313834166,0,51
1765313834217,1197,1197,1765313834217,0,51
1765313834269,1198,1198,1765313834269,0,52
1765313834321,1199,1199,1765313834320,1,51
1765313834376,1200,1200,1765313834375,1,54
1765313834431,1201,1201,1765313834430,1,54
1765313834481,1202,1202,1765313834481,0,50
1765313834536,1203,1203,1765313834535,1,54
1765313834588,1204,1204,1765313834587,1,51
1765313834643,1205,1205,1765313834642,1,54
1765313834696,1206,1206,1765313834696,0,53
1765313834751,1207,1207,1765313834751,0,55
1765313834802,1208,1208,1765313834801,1,50
1765313834852,1209,1209,1765313834852,0,50
1765313834907,1210,1210,1765313834906,1,54
1765313834961,1211,1211,1765313834961,0,54
1765313835013,1212,1212,1765313835012,1,51
1765313835067,1213,1213,1765313835067,0,54
1765313835122,1214,1214,1765313835122,0,55
1765313835178,1215,1215,1765313835177,1,55
1765313835229,1216,1216,1765313835229,0,51
1765313835283,1217,1217,1765313835283,0,54
1765313835336,1218,1218,1765313835335,1,52
1765313835387,1219,1219,1765313835387,0,51
1765313835440,1220,1220,1765313835439,1,52
1765313835495,1221,1221,1765313835495,0,55
1765313835547,1222,1222,1765313835547,0,52
1765313835602,1223,1223,1765313835602,0,55
1765313835653,1224,1224,1765313835653,0,51
1765313835705,1225,1225,1765313835704,1,51
1765313835760,1226,1226,1765313835759,1,54
1765313835815,1227,1227,1765313835814,1,54
1765313835869,1228,1228,1765313835869,0,54
1765313835923,1229,1229,1765313835922,1,53
1765313835974,1230,1230,1765313835974,0,51
1765313836029,1231,1231,1765313836029,0,55
1765313836084,1232,1232,1765313836084,0,55
1765313836135,1233,1233,1765313836135,0,51
1765313836191,1234,1234,1765313836190,1,55
1765313836244,1235,1235,1765313836244,0,53
1765313836298,1236,1236,1765313836298,0,54
1765313836353,1237,1237,1765313836351,2,53
